nome,sigla,codigo,tipo,vel_max_kmh,raio_m,ativo,pedagio,rodoviaria,garagem,lat,lng
GARAGEM BELO HORIZONTE,GAR BHZ,117,Ponto de Fechamento - 1,0,70,false,false,false,true,-19.907835,-43.898221
GARAGEM COCOS BA,GAR COX,112,Ponto de Fechamento - 1,5,200,false,false,false,true,-14.177356,-44.530529
GARAGEM DE ITACARAMBI MG,GAR ITA,137,Ponto de Fechamento - 1,0,200,false,false,false,true,-15.095656,-44.099347
GARAGEM DE PALMAS,GAR PLM,84,Ponto de Fechamento - 1,0,50,false,false,false,true,-10.250427,-48.314161
GARAGEM SALVADOR BA,GAR SALVAD,145,Ponto de Fechamento - 1,0,90,false,false,false,true,-12.977267,-38.46751
GARAGEM TABOCAS DO B.VELHO,GAR TBCAS,111,Ponto de Fechamento - 1,5,40,false,false,false,true,-12.703413,-44.006736
GARAGEM TERESINA PI,GAR THE,130,Ponto de Fechamento - 1,0,50,false,false,false,true,-5.131895,-42.789439
GARAGEM DE UBERLANDIA,GAR UDI,136,Ponto de Fechamento - 1,0,30,false,false,false,true,-18.899537,-48.276685
JARDIM INGA - GO / GARAGEM CATEDRAL,GARAGEM VP,463,Ponto de Controle - 12,20,135,false,false,false,true,-16.161608,-47.973377
APARECIDA - GO - CHURRASCARIA DO GAUCHINHA,Gauchinha,135,Ponto de Controle - 12,0,50,false,false,false,false,-16.805169,-49.240004
UBERLANDIA - MG / REST. GAUCHINHO,GAUCHINHO,457,Local Não Autorizado - 42,0,30,false,false,false,false,-18.870977,-48.256583
GARAGEM VIACAO CETRO SALVADOR,GCETROSSA,65,Ponto de Fechamento - 1,20,200,false,false,false,true,-12.90853,-38.451571
GRAAL CORAL PIRASSUNUNGA - SP,GCPIR,23,Ponto de Controle - 12,10,200,false,false,false,false,-22.002473,-47.445263
RODOVIARIA DE GILBUES - PI,GLU,274,Ponto de Controle - 12,10,30,false,false,true,false,-9.841887,-45.34714
RODOVIARIA DE GOIANINHA - RN,GOH,276,Ponto de Controle - 12,10,35,false,false,true,false,-6.269933,-35.209692
RODOVIARIA DE GOIANA - PE,GOI,275,Ponto de Controle - 12,10,75,false,false,true,false,-7.559759,-35.010551
GARAGEM MATRIZ BRASILIA - BSB,GPBSB,2,Ponto de Fechamento - 1,10,65,false,false,false,true,-15.820196,-47.954673
GARAGEM DE GOIANIA - GO,GPGYN,39,Ponto de Fechamento - 1,0,50,false,false,false,true,-16.662461,-49.330095
GARAGEM NATAL,GPNAT,67,Ponto de Fechamento - 1,20,200,false,false,false,true,-5.815859,-35.246111
GARAGEM DE RECIFE - PE,GPREC,41,Ponto de Fechamento - 1,0,60,false,false,false,true,-8.072408,-34.98662
GARAGEM DE SAO PAULO - SP,GPSAO,40,Ponto de Fechamento - 1,10,50,false,false,false,true,-23.515801,-46.700805
GARAGEM DE GUARULHOS - SP,GR.GRS,427,Ponto de Fechamento - 1,0,230,false,false,false,true,-23.489609,-46.557237
GRAAL ANTARERS UBERABA - MG,GRAAL-URA,26,Ponto de Controle - 12,10,100,false,false,false,false,-19.764209,-47.975107
GRAAL 67 JUNDIAI SP,GRAAL67,152,Ponto de Controle - 12,10,75,false,false,false,false,-23.129223,-46.950277
Grill Sul Churrascaria / Leme - SP,GRILLER,422,Ponto de Controle - 12,0,50,false,false,false,false,-22.188939,-47.399805
RODOVIARIA DE GUARULHOS - SP,GRS,280,Ponto de Controle - 12,10,100,false,false,true,false,-23.448518,-46.496872
RODOVIARIA DE GUARATINGUETA - SP,GTA,279,Ponto de Controle - 12,10,50,false,false,true,false,-22.819977,-45.19528
GARAGEM FORTALEZA - CE,GTFOR,42,Ponto de Fechamento - 1,10,35,false,false,false,true,-3.740764,-38.53513
GUARÁ - SP - REST.E GUARA,GUARA SP,148,Local Não Autorizado - 42,40,200,false,false,false,false,-20.45881,-47.836178
GRUPO 2 IRMÃOS DIVISA GO/BA - GUARANI DE GOIAS,GUARANI,183,Ponto de Controle - 12,0,200,false,false,false,false,-14.010551,-46.214533
RODOVIARIA DE GOVERNADOR VALADARES - MG,GVS,277,Ponto de Controle - 12,10,50,false,false,true,false,-18.859093,-41.946258
RODOVIARIA DE GRAVATA - PE,GVT,278,Ponto de Controle - 12,10,50,false,false,true,false,-8.196288,-35.56899
RODOVIARIA DE GOIANIA - GO,GYN,24,Ponto de Controle - 12,10,130,false,false,true,false,-16.659379,-49.259684
RODOVIARIA DE HIDROLANDIA - GO,HDD,281,Ponto de Controle - 12,10,35,false,false,true,false,-16.961573,-49.230347
RODOVIARIA DE IBIPEBA - BA,IBB,282,Ponto de Controle - 12,10,50,false,false,true,false,-11.644014,-42.009144
RODOVIARIA IBOTIRAMA -BA,IBM,58,Ponto de Controle - 12,10,50,false,false,false,false,-12.181139,-43.207854
RODOVIARIA DE ICO - CE,ICO,283,Ponto de Controle - 12,10,50,false,false,true,false,-6.406143,-38.863804
RODOVIARIA  ITABERABA - BA,IEB,7,Ponto de Controle - 12,10,20,false,false,true,false,-12.531134,-40.303805
RODOVIARIA DE IGARAPAVA - SP,IGA,284,Ponto de Controle - 12,10,50,false,false,true,false,-20.043472,-47.762685
RODOVIARIA DE IPATINGA - MG,IIG,287,Ponto de Controle - 12,10,50,false,false,true,false,-19.480711,-42.523761
RODOVIARIA DE ITAPORANGA DAJUDA,IJD,291,Ponto de Controle - 12,10,50,false,false,true,false,-10.997016,-37.30649
RODOVIARIA DE INHAPIM - MG,INP,286,Ponto de Controle - 12,10,50,false,false,true,false,-19.549103,-42.123519
RODOVIARIA DE ITAOBIM - MG,IOM,290,Ponto de Controle - 12,10,25,false,false,true,false,-16.561492,-41.503894
RODOVIARIA DE ITABORAI - RJ,IOY,289,Ponto de Controle - 12,10,50,false,false,true,false,-22.744092,-42.856592
RODOVIARIA DE IRECE - BA,IRE,288,Ponto de Controle - 12,10,45,false,false,true,false,-11.302807,-41.848562
RODOVIARIA DE IGARASSU - PE,ISS,285,Ponto de Controle - 12,10,95,false,false,true,false,-7.833059,-34.911917
PONTO DE APOIO ITAPEMIRIM - ANAPOLIS GO,ITAPEMIRIM,168,Local Não Autorizado - 42,0,110,false,false,false,false,-16.355302,-48.927469
RODOVIARIA DE ITAUIERA PI,ITAUEIRA,464,Ponto de Controle - 12,10,35,false,false,true,false,-7.603104,-43.02721
RODOVIARIA DE ITUMBIARA - GO,ITM,292,Ponto de Controle - 12,10,95,false,false,true,false,-18.402974,-49.210994
RODOVIARIA DE ITUVERAVA - SP,ITV,293,Ponto de Controle - 12,10,38,false,false,true,false,-20.339397,-47.776046
JABOATÃO DOS GUARARAPES - PE,JABOATAO,466,Ponto de Controle - 12,10,80,false,false,false,false,-8.094693,-35.045021
RODOVIARIA DE JACOBINA-BA,JACOBINA,166,Ponto de Controle - 12,0,60,false,false,true,false,-11.184665,-40.520863
RODOVIARIA DE JAGUAQUARA - BA,JGQ,294,Ponto de Controle - 12,10,50,false,false,true,false,-13.526083,-39.971393
RODOVIARIA DE JOAO MONLEVADE - MG,JML,296,Ponto de Controle - 12,10,50,false,false,true,false,-19.840214,-43.196541
PORÇÕES - BA - POST. JORGINHO,JORGINHO,413,Local Não Autorizado - 42,10,50,false,false,false,false,-14.56803,-40.419272
RODOVIARIA JOÃO PESSOA- PB,JPA,6,Ponto de Controle - 12,10,100,false,false,true,false,-7.118322,-34.891108
RODOVIARIA DE JARAGUA - GO,JRG,295,Ponto de Controle - 12,10,50,false,false,true,false,-15.75665,-49.33003
RODOVIARIA DE JUAZEIRO DO NORTE - CE,JUAZEIRO,157,Ponto de Controle - 12,0,50,false,false,true,false,-7.22653,-39.322537
RODOVIARIA DE JUAZEIRO-BA,JUAZEIROBA,162,Ponto de Controle - 12,0,50,false,false,true,false,-9.437257,-40.496876
RODOVIARIA DE JUNDIAI-SP,JUNDIAI,172,Ponto de Controle - 12,0,65,false,false,true,false,-23.207289,-46.895503
LEME - SP - CHURR KAMBUI,KAMBUI,477,Local Não Autorizado - 42,0,50,false,false,false,false,-22.134075,-47.409577
ORLANDIA - SP / Kambui Restaurante,Kambui Res,389,Ponto de Controle - 12,10,150,false,false,false,false,-20.698716,-47.893183
CHURRASCARIA GAUCHA LABRESCIA  PATOS DE MINAS - MG,LABRESCIA,34,Ponto de Controle - 12,10,20,false,false,false,false,-18.641958,-46.497602
RODOVIARIA DE LAJE - BA,LAJ,297,Ponto de Controle - 12,10,12,false,false,true,false,-13.180334,-39.417111
RODOVIARIA DE LEME-SP,LEME,171,Ponto de Controle - 12,0,50,false,false,true,false,-22.189869,-47.396082
RODOVIARIA DE LAURO DE FREITAS - BA,LFS,298,Ponto de Controle - 12,10,50,false,false,true,false,-12.897531,-38.333006
RODOVIARIA DE LORENA - SP,LNA,301,Ponto de Controle - 12,10,50,false,false,true,false,-22.740256,-45.119554
RODOVIARIA DE LEOPOLDINA - MG,LPD,299,Ponto de Controle - 12,10,60,false,false,true,false,-21.532174,-42.634679
RODOVIARIA DE LIMEIRA - SP,LRA,300,Ponto de Controle - 12,10,50,false,false,true,false,-22.565034,-47.398133
RODOVIARIA DE LUIS EDUARDO MAGALHAES,LUIS E MAG,68,Ponto de Controle - 12,30,90,false,false,true,false,-12.095564,-45.810791
RODOVIARIA DE LUZIANIA - GO,LZA,302,Ponto de Controle - 12,10,50,false,false,true,false,-16.25885,-47.95945
RODOVIARIA DE MISSAO VELHA - CE,MAH,311,Ponto de Controle - 12,10,50,false,false,true,false,-7.249475,-39.141552
REST. & LANCHONETE DA MAINHA / CATALÃO - GO,MAINHA,436,Local Não Autorizado - 42,0,25,false,false,false,false,-18.243316,-47.991465
