Código,Cód. Emb.,Desc. Resumida,Descrição,Unidade Empresarial,Tipo,Ajuste Horário,Raio,Raio Advert.,Vel.,Grupo PC.,Dist. uso vel.,Código externo,Ativo,Pedágio,Rodoviária,Suspensão,Garagem,Online,Auxlilar,Seletivo,Ponto Vel.,Area Vel.,Direções,Latitude,Longitude,Chave,Data Cadastro,Data Alteração
300,286,LRA,RODOVIARIA DE LIMEIRA - SP,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-22.565034,-47.398133,0,2025-08-11 16:00:49,2025-09-18 08:54:57
68,68,LUIS E MAG,RODOVIARIA DE LUIS EDUARDO MAGALHAES,Kandango Parceiras,Ponto de Controle - 12,0,90,90,30,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-12.095564,-45.810791,1,2024-02-02 01:27:42,2025-09-17 09:56:57
302,288,LZA,RODOVIARIA DE LUZIANIA - GO,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-16.258850,-47.959450,0,2025-08-11 16:03:34,2025-08-11 16:03:34
311,297,MAH,RODOVIARIA DE MISSAO VELHA - CE,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-7.249475,-39.141552,0,2025-08-11 16:23:32,2025-08-11 16:23:32
436,411,MAINHA ,REST. & LANCHONETE DA MAINHA / CATALÃO - GO,Kandango Parceiras,Local Não Autorizado - 42,0,25,25,0,Não Informado,0.0,-,F,F,N,F,N,T,F,F,F,F,,-18.243316,-47.991465,0,2025-09-19 16:19:55,2025-09-19 16:22:34
415,391,MARCPLO BS,MARCOPLO BRASILIA ,Kandango Parceiras,Ponto de Fechamento - 1,0,100,100,30,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-15.869239,-48.034795,0,2025-09-08 08:29:57,2025-12-01 16:06:51
304,290,MARI,RODOVIARIA DE MAIRIPORA - SP,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-23.316790,-46.584000,0,2025-08-11 16:09:12,2025-08-11 16:09:12
126,126,MARISTELA,RESTAURANTE MARISTELA - ITAUEIRA PI,Kandango Parceiras,Ponto de Controle - 12,0,20,20,0,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-7.603206,-43.027698,1,2024-10-15 14:16:01,2025-10-31 10:29:39
438,413,MARZAGAO, MARZAGAO - GO - Postos Shell,Kandango Parceiras,Local Não Autorizado - 42,0,50,50,0,Não Informado,0.0,-,F,F,N,F,N,T,F,F,F,F,,-17.969095,-48.641627,0,2025-10-03 15:44:13,2025-10-03 15:44:13
70,70,MATINH_UDI,POSTO MATINHA UBERLANDIA,Kandango Parceiras,Ponto de Controle - 12,0,25,40,10,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-18.898808,-48.243357,0,2024-05-05 15:24:28,2025-10-15 10:55:19
303,289,MCI,RODOVIARIA DE MACAIBA - RN,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-5.859337,-35.349349,0,2025-08-11 16:07:02,2025-08-11 16:07:02
17,16,MCZ,RODOVIARIA DE MACEIO - AL,Kandango Parceiras,Ponto de Controle - 12,0,90,90,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-9.645924,-35.725563,0,2023-09-20 14:13:07,2025-09-17 14:23:41
307,293,MDA,RODOVIARIA DE MEDINA - MG,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-16.232180,-41.476426,0,2025-08-11 16:15:17,2025-08-11 16:15:17
382,366,MEGA GRILL,VITORIA DA CONQUISTA - BA /CHURR. MEGA GRILL,Kandango Parceiras,Ponto de Controle - 12,0,80,80,10,Não Informado,0.0,-,F,F,N,F,N,T,F,F,F,F,,-14.883109,-40.859150,0,2025-08-18 14:38:22,2025-09-17 14:26:17
10,9,MESS,RODOVIARIA MESSEJANA CE ,Kandango Parceiras,Ponto de Controle - 12,0,60,50,10,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-3.831219,-38.500679,0,2023-09-20 12:31:49,2025-09-17 14:27:30
308,294,MGN,RODOVIARIA DE MIGUEL CALMON - BA,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-11.425775,-40.592949,0,2025-08-11 16:18:01,2025-08-11 16:18:01
310,296,MGS,RODOVIARIA DE MILAGRES - CE,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-7.311624,-38.937746,0,2025-08-11 16:21:03,2025-08-11 16:21:03
309,295,MLG,RODOVIARIA DE MILAGRES - BA /  R S SILVA,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,T,F,F,F,,-12.878656,-39.857324,0,2025-08-11 16:19:27,2025-09-17 15:27:02
305,291,MME,RODOVIARIA DE MAMANGUAPE - PB,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-6.836687,-35.123022,0,2025-08-11 16:10:11,2025-08-11 16:10:11
306,292,MMI,RODOVIARIA DE MANOEL EMIDIO - PI,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-8.006820,-43.872918,0,2025-08-11 16:11:28,2025-08-11 16:11:28
43,42,MOCC,RODOVIARIA MONTES CLAROS - MG ,Kandango Parceiras,Ponto de Controle - 12,0,50,70,10,Não Informado,0.0,-,F,F,S,F,N,T,T,F,F,F,,-16.742924,-43.868341,0,2023-09-20 15:38:22,2025-11-03 09:12:56
312,298,MOR,RODOVIARIA DE MORRINHOS - GO,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-17.734389,-49.101451,0,2025-08-11 16:27:07,2025-08-11 16:27:07
12,11,MOSSORO,RODOVIARIA MOSSORO - RN,Kandango Parceiras,Ponto de Controle - 12,0,50,70,10,Não Informado,0.0,-,F,F,S,F,N,T,T,F,F,F,,-5.185308,-37.373808,0,2023-09-20 13:48:35,2025-09-24 15:58:33
313,299,MRE,RODOVIARIA DE MURIAE - MG,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-21.128382,-42.370014,0,2025-08-11 16:28:17,2025-08-11 16:28:17
314,300,MRI,RODOVIARIA DE MURICI - AL,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-9.312580,-35.934361,0,2025-08-11 16:32:55,2025-08-11 16:32:55
402,385,NA BRASA,QUIPAPÁ - PE - POST. PETROBRAS / CHURR. NA BRASA,Kandango Parceiras,Local Não Autorizado - 42,0,50,50,10,Não Informado,0.0,-,F,F,N,F,N,T,F,F,F,F,,-9.898918,-36.440063,0,2025-09-01 09:13:23,2025-11-24 11:28:31
